Akron,Zips,other
Alabama State,Hornets,bug
Alabama,Crimson Tide,other
Albany,Great Danes,dog
American,Eagles,bird
Arizona State,Sun Devils,evil
Arizona,Wildcats,cat
Arkansas Little Rock,Trojans,human
Arkansas,Razorbacks,horned
Auburn,Tigers,cat
Austin Peay,Governors,human
BYU,Cougars,cat
Baylor,Bears,bear
Belmont,Bruins,bear
Boise State,Broncos,horse
Boston University,Terriers,dog
Bryant,Bulldogs,dog
Bucknell,Bison,horned
Buffalo,Bulls,horned
Butler,Bulldogs,dog
Byu,Cougars,cat
Cal Poly,Mustangs,horse
Cal State Fullerton,Titans,other
California State Bakersfield,Roadrunners,bird
California,Golden Bears,bear
Charleston,Cougars,cat
Chattanooga,Mocs,bird
Cincinnati,Bearcats,other
Clemson,Tigers,cat
Coastal Carolina,Chanticleers,bird
Colgate,Raiders,human
Colorado St.,Rams,horned
Colorado,Buffalos,horned
Connecticut,Huskies,dog
Creighton,Bluejays,bird
Davidson,Wildcats,cat
Dayton,Flyers,human
Delaware,Fighting Blue Hens,bird
Detroit,Titans,human
Duke,Blue Devils,evil
Eastern Kentucky,Colonels,human
Eastern Washington,Eagles,bird
Fairleigh Dickinson,Knights,horse
Florida Gulf Coast,Eagles,bird
Florida State,Seminoles,human
Florida,Gators,reptile
Fresno State,Bulldogs,dog
George Mason,Patriots,???
George Washington,Colonials,human
Georgetown,Hoyas,dog
Georgia State,Panthers,cat
Georgia,Bulldogs,dog
Gonzaga,Bulldogs,dog
Green Bay,Phoenix,bird
Hampton,Pirates,human
Harvard,Crimson,human
Hawaii,Rainbow Warriors,human
Holy Cross,Crusaders,human
Houston,Cougars,cat
Illinois,Fighting Illini,human
Indiana State,Sycamores,???
Indiana,Hoosiers,other
Iona,Gaels,human
Iowa State,Cyclones,bird
Iowa,Hawkeyes,bird
Jacksonville,Gamecocks,bird
James Madison,Dukes,dog
Kansas State,Wildcats,cat
Kansas,Jayhawks,bird
Kentucky,Wildcats,cat
LIU Brooklyn,Blackbirds,bird
LSU,Tigers,cat
La Salle,Explorers,human
Lafayette,Leopards,cat
Lamar,Cardinals,bird
Lehigh,Mountain Hawks,bird
Liberty,Flames,bird
Lipscomb,Bison,horned
Long Beach State,49ers,human
Long Island,Blackbirds,bird
Longwood,Lancers,horse
Louisville,Cardinals,bird
Loyola Maryland,Greyhounds,dog
Loyola,Ramblers,dog
Manhattan,Jaspers,other
Marquette,Golden Eagles,bird
Marshall,Bison,horned
Maryland,Terrapins,reptile
Memphis,Tigers,cat
Mercer,Bears,bear
Miami,Hurricanes,bird
Michigan State,Spartans,human
Michigan,Wolverines,other
Middle Tennesee,Blue Raiders,horse
Milwaukee,Panthers,cat
Minnesota,Golden Gophers,other
Mississippi Valley State,Delta Devils,human
Missouri,Tigers,cat
Montana St.,Bobcat,cat
Montana,Grizzlies,bear
Morehead State,Eagles,bird
Murray State,Racers,other
NC State,Wolfpack,dog
Nebraska,Cornhuskers,human
Nevada,Wolfpack,dog
New Mexico State,Aggies,human
New Mexico,Lobos,dog
Norfolk State,Spartans,human
North Carolina A&T,Aggies,dog
North Carolina Central,Eagles,bird
North Carolina,Tarheels,horned
North Dakota State,Bison,horned
North Florida,Ospreys,bird
Northeastern,Huskies,dog
Northern Colorado,Bears,bear
Northern Iowa,Panthers,cat
Northwestern St.,Demons,human
Notre Dame,Fighting Irish,human
Oakland,Golden Grizzlies,bear
Ohio State,Buckeyes,???
Ohio,Bobcats,cat
Oklahoma St.,Cowboys,evil
Oklahoma,Sooners,horse
Old Dominion,Monarchs,cat
Ole Miss,Rebels,bear
Ole Miss,Rebels,human
Oregon State,Beavers,other
Oregon,Ducks,bird
Pacific,Tigers,cat
Penn State,Nittany Lions,cat
Penn,Quakers,human
Pittsburgh,Panthers,cat
Princeton,Tigers,cat
Providence,Friar Boys,evil
Purdue,Boilermakers,human
Radford,Highlanders,human
Rhode Island,Rams,horned
Richmond,Spiders,bug
Robert Morris,Colonials,human
Rutgers,Scarlet Knights,human
SMU,Mustangs,horse
Saint Bonaventure,Bonnies,dog
